,name,market,funding_total_usd,status,funding_rounds,State_code,City,founded_at,company_name,acquired_at,price_amount
19991,Stellarray,Manufacturing,750000,operating,1,TX,Austin,2007-09-07,,,
19992,StellaService,Online_Tech,23949999,operating,5,NY,New York,2009-01-01,,,
19993,Stem,Online_Tech,28097672,operating,3,CA,Millbrae,2009-01-01,,,
19994,Stem CentRx,Medical,23526990,operating,1,CA,South San Francisco,2008-01-01,,,
19995,StemBioSys,Medical,2000000,operating,1,TX,San Antonio,,,,
19996,StemCells,Medical,20000000,operating,1,CA,Newark,1992-01-01,,,
19997,StemCyte,Medical,2500000,operating,1,CA,Covina,1997-01-01,,,
19998,Stemedica Cell Technologies,Medical,22000000,operating,1,CA,San Diego,2005-01-01,,,
19999,Stemgent,Medical,51885190,operating,8,MA,Cambridge,2008-01-01,,,
20000,Stemina Biomarker Discovery,Medical,4900000,operating,3,WI,Madison,2006-01-01,,,
20001,awe.sm,Online_Tech,5250000,acquired,2,CA,San Francisco,2009-02-06,awe.sm,2014-05-01,
20002,awe.sm,Online_Tech,5250000,acquired,2,CA,San Francisco,2009-02-06,awe.sm,2014-05-01,
20003,awe.sm,Online_Tech,5250000,acquired,2,CA,San Francisco,2009-02-06,awe.sm,2014-05-01,
20004,Stemline Therapeutics,Medical,15090000,operating,4,NY,New York,2003-08-01,,,
20005,Stemnion,Medical,570746,operating,1,PA,Pittsburgh,2001-01-01,,,
20006,StemSave,Medical,150000,operating,1,NY,New York,,,,
20007,Step Ahead Innovations,Retail,639399,operating,3,VT,Williston,2011-01-01,,,
20008,Step Labs,Online_Tech,6500000,operating,1,CA,San Jose,,,,
20009,Step On Up Graphics,Art,0,operating,1,FL,Boynton Beach,2011-08-01,,,
20010,Awear,Online_Tech,550000,operating,1,CA,San Francisco,,,,
20011,Stephanie's Home Decor Boutique,Retail,0,operating,1,GA,Norcross,2011-08-01,,,
20012,Stephen L. LaFrance Pharmacy,Service,24500000,operating,1,AR,Little Rock,,,,
20013,StepLeader,Online_Tech,4899999,operating,2,NC,Raleigh,2012-05-01,,,
20014,StepOne,Online_Tech,3990853,operating,1,TX,Austin,,,,
20015,StepOne Health,Medical,215000,operating,1,CA,Portola Valley,2011-08-01,,,
20016,StepsAway,Online_Tech,4000000,operating,2,CA,North Hollywood,2012-01-01,,,
20017,Stereobot,Online_Tech,360000,operating,1,CA,Los Angeles,2012-01-01,,,
20018,Stereotaxis,Medical,10000000,operating,1,MO,St Louis,,,,
20019,Stereotypes,Art,230000,operating,2,NY,New York,2012-01-06,,,
20020,StereoVision Imaging,Online_Tech,50000,operating,1,CA,Pasadena,2000-01-10,,,
20021,SteriGenics International,Medical,0,operating,1,IL,Oak Brook,1978-01-01,,,
20022,STERIS Corporation,Medical,285000,operating,1,PA,Pittsburgh,1985-01-01,,,
20023,Sterling Consolidated,Manufacturing,2450000,operating,1,NJ,Neptune,1997-01-01,,,
20024,Sterling Heights Dentist,Other,0,operating,1,MI,Sterling Heights,1975-01-01,,,
20025,Sterling Hospice Partners,Medical,650000,operating,1,TX,Dallas,2009-01-01,,,
20026,SterraClimb,Science_and_Engineering,1500000,operating,1,NJ,Princeton,2005-01-01,,,
20027,Steven Winston LLC,Service,0,operating,1,GA,Atlanta,2013-10-01,,,
20028,Stevia First,Medical,1500000,operating,1,CA,Yuba City,2007-01-01,,,
20029,Awesome.me,Online_Tech,0,operating,1,MA,Boston,2011-11-11,,,
20030,STI Technologies,Online_Tech,17000000,operating,1,NY,Rochester,1979-01-01,,,
20031,Sticher,Art,100000,operating,1,CA,San Francisco,2008-01-01,,,
20032,stickK,Online_Tech,2225000,operating,3,NY,New York,2007-07-01,,,
20033,Stickybits,Online_Tech,1900000,closed,2,NY,New York,2009-01-01,,,
